DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-01,3.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-02,2.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-03,2.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-04,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-05,2.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-06,2.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-07,2.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-08,2.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-09,1.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-10,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-11,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2024-12,2.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-01,2.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-02,2.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-03,2.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-04,2.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-05,2.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-06,2.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-07,1.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-08,2.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-09,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-10,2.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-11,2.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Germany,2025-12,2.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-01,3.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-02,2.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-03,3.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-04,3.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-05,3.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-06,3.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-07,2.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-08,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-09,1.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-10,1.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-11,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2024-12,2.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-01,2.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-02,2.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-03,2.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-04,2.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-05,2.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-06,2.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-07,2.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-08,2.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-09,3.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-10,3.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-11,3.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Spain,2025-12,3.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-01,3.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-02,3.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-03,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-04,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-05,2.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-06,2.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-07,2.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-08,2.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-09,1.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-10,1.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-11,1.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2024-12,1.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-01,1.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-02,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-03,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-04,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-05,0.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-06,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-07,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-08,0.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-09,1.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-10,0.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-11,0.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,France,2025-12,0.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-01,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-02,0.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-03,1.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-04,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-05,0.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-06,0.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-07,1.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-08,1.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-09,0.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-10,1.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-11,1.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2024-12,1.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-01,1.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-02,1.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-03,2.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-04,2.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-05,1.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-06,1.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-07,1.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-08,1.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-09,1.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-10,1.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-11,1.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Italy,2025-12,1.2,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-01,3.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-02,2.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-03,3.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-04,2.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-05,2.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-06,3.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-07,3.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-08,3.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-09,3.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-10,3.3,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-11,3.8,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2024-12,3.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-01,3.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-02,3.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-03,3.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-04,4.1,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-05,2.9,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-06,2.7,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-07,2.5,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-08,2.4,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-09,3.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-10,3.0,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-11,2.6,,
ESTAT:PRC_HICP_MANR(1.0),06/02/26 23:00:00,Monthly,Annual rate of change,All-items HICP,Netherlands,2025-12,2.7,,
